,Outlet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
0,@BBC,Fri Mar 30 13:05:00 +0000 2018,0.5859,0.241,0.0,0.759,0
1,@BBC,Fri Mar 30 12:04:01 +0000 2018,0.4019,0.124,0.0,0.876,1
2,@BBC,Fri Mar 30 10:39:54 +0000 2018,0.4574,0.213,0.09,0.697,2
3,@BBC,Fri Mar 30 10:33:02 +0000 2018,0.0,0.0,0.0,1.0,3
4,@BBC,Fri Mar 30 10:03:04 +0000 2018,0.25,0.091,0.0,0.909,4
5,@BBC,Fri Mar 30 09:06:02 +0000 2018,0.0,0.0,0.0,1.0,5
6,@BBC,Fri Mar 30 08:27:05 +0000 2018,0.0,0.0,0.0,1.0,6
7,@BBC,Fri Mar 30 07:30:02 +0000 2018,0.0258,0.126,0.123,0.751,7
8,@BBC,Thu Mar 29 20:41:00 +0000 2018,-0.296,0.0,0.099,0.901,8
9,@BBC,Thu Mar 29 18:45:08 +0000 2018,0.0,0.0,0.0,1.0,9
10,@BBC,Thu Mar 29 18:44:20 +0000 2018,0.0,0.0,0.0,1.0,10
11,@BBC,Thu Mar 29 18:44:11 +0000 2018,0.0,0.0,0.0,1.0,11
12,@BBC,Thu Mar 29 18:43:51 +0000 2018,0.0,0.0,0.0,1.0,12
13,@BBC,Thu Mar 29 18:05:02 +0000 2018,0.4522,0.194,0.109,0.697,13
14,@BBC,Thu Mar 29 17:04:05 +0000 2018,0.0,0.0,0.0,1.0,14
15,@BBC,Thu Mar 29 16:12:19 +0000 2018,0.784,0.288,0.0,0.712,15
16,@BBC,Thu Mar 29 16:03:03 +0000 2018,-0.3164,0.0,0.534,0.466,16
17,@BBC,Thu Mar 29 15:41:25 +0000 2018,0.0,0.0,0.0,1.0,17
18,@BBC,Thu Mar 29 15:31:22 +0000 2018,0.0,0.0,0.0,1.0,18
19,@BBC,Thu Mar 29 15:26:27 +0000 2018,0.0,0.0,0.0,1.0,19
20,@BBC,Fri Mar 30 13:05:00 +0000 2018,0.5859,0.241,0.0,0.759,20
21,@BBC,Fri Mar 30 12:04:01 +0000 2018,0.4019,0.124,0.0,0.876,21
22,@BBC,Fri Mar 30 10:39:54 +0000 2018,0.4574,0.213,0.09,0.697,22
23,@BBC,Fri Mar 30 10:33:02 +0000 2018,0.0,0.0,0.0,1.0,23
24,@BBC,Fri Mar 30 10:03:04 +0000 2018,0.25,0.091,0.0,0.909,24
25,@BBC,Fri Mar 30 09:06:02 +0000 2018,0.0,0.0,0.0,1.0,25
26,@BBC,Fri Mar 30 08:27:05 +0000 2018,0.0,0.0,0.0,1.0,26
27,@BBC,Fri Mar 30 07:30:02 +0000 2018,0.0258,0.126,0.123,0.751,27
28,@BBC,Thu Mar 29 20:41:00 +0000 2018,-0.296,0.0,0.099,0.901,28
29,@BBC,Thu Mar 29 18:45:08 +0000 2018,0.0,0.0,0.0,1.0,29
